Execution Info

Total Simulation Time: 210091.0 ms (includes Debug Time)
Execution Time: 210091.0 ms
Total Debug Time: 0.0 ms

Events
0. Timestamp: 0; Name: start;  Attributes: [battery: 0; ]
1. Timestamp: 0; Name: entry: /powered_off;  Attributes: [battery: 0; ]
2. Timestamp: 0; Name: entry: /powered_off/not_charging;  Attributes: [battery: 0; ]
3. Timestamp: 13099; Name: exit: /powered_off/not_charging - plug_charger;  Attributes: [battery: 0; ]
4. Timestamp: 13099; Name: entry: /powered_off/charging;  Attributes: [battery: 1; ]
5. Timestamp: 28099; Name: exit: /powered_off/charging - _0after;  Attributes: [battery: 1; ]
6. Timestamp: 28099; Name: entry: /powered_off/charging;  Attributes: [battery: 2; ]
7. Timestamp: 38391; Name: exit: /powered_off/charging - step;  Attributes: [battery: 2; ]
8. Timestamp: 38391; Name: entry: /powered_off/charging;  Attributes: [battery: 3; ]
9. Timestamp: 39615; Name: exit: /powered_off/charging - step;  Attributes: [battery: 3; ]
10. Timestamp: 39615; Name: entry: /powered_off/charging;  Attributes: [battery: 4; ]
11. Timestamp: 46727; Name: exit: /powered_off/charging - unplug_charger;  Attributes: [battery: 4; ]
12. Timestamp: 46727; Name: entry: /powered_off/not_charging;  Attributes: [battery: 4; ]
13. Timestamp: 89969; Name: exit: /powered_off/not_charging - plug_charger;  Attributes: [battery: 4; ]
14. Timestamp: 89969; Name: entry: /powered_off/charging;  Attributes: [battery: 5; ]
15. Timestamp: 93529; Name: exit: /powered_off/charging - step;  Attributes: [battery: 5; ]
16. Timestamp: 93529; Name: entry: /powered_off/charging;  Attributes: [battery: 6; ]
17. Timestamp: 94783; Name: exit: /powered_off/charging - step;  Attributes: [battery: 6; ]
18. Timestamp: 94783; Name: entry: /powered_off/charging;  Attributes: [battery: 7; ]
19. Timestamp: 96703; Name: exit: /powered_off/charging - step;  Attributes: [battery: 7; ]
20. Timestamp: 96703; Name: entry: /powered_off/charging;  Attributes: [battery: 8; ]
21. Timestamp: 98145; Name: exit: /powered_off/charging - step;  Attributes: [battery: 8; ]
22. Timestamp: 98145; Name: entry: /powered_off/charging;  Attributes: [battery: 9; ]
23. Timestamp: 98875; Name: exit: /powered_off/charging - step;  Attributes: [battery: 9; ]
24. Timestamp: 98875; Name: entry: /powered_off/charging;  Attributes: [battery: 10; ]
25. Timestamp: 101759; Name: exit: /powered_off/charging - step;  Attributes: [battery: 10; ]
26. Timestamp: 101759; Name: entry: /powered_off/charging;  Attributes: [battery: 11; ]
27. Timestamp: 108083; Name: exit: /powered_off/charging - press_power_button;  Attributes: [battery: 11; ]
28. Timestamp: 108083; Name: exit: /powered_off;  Attributes: [battery: 11; ]
29. Timestamp: 108083; Name: entry: /powered_on;  Attributes: [battery: 11; ]
30. Timestamp: 108083; Name: entry: /powered_on/charge;  Attributes: [battery: 11; ]
31. Timestamp: 108083; Name: entry: /powered_on/charge/not_charging;  Attributes: [battery: 11; ]
32. Timestamp: 108083; Name: entry: /powered_on/apps;  Attributes: [battery: 11; ]
33. Timestamp: 108083; Name: entry: /powered_on/apps/homescreen;  Attributes: [battery: 11; ]
34. Timestamp: 116967; Name: exit: /powered_on/apps/homescreen - go_app_a;  Attributes: [battery: 11; ]
35. Timestamp: 116967; Name: entry: /powered_on/apps/app_a;  Attributes: [battery: 11; ]
36. Timestamp: 122268; Name: exit: /powered_on/charge/not_charging - plug_charger;  Attributes: [battery: 11; ]
37. Timestamp: 122268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 12; ]
38. Timestamp: 137268; Name: exit: /powered_on/charge/charging - _1after;  Attributes: [battery: 12; ]
39. Timestamp: 137268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 13; ]
40. Timestamp: 152268; Name: exit: /powered_on/charge/charging - _1after;  Attributes: [battery: 13; ]
41. Timestamp: 152268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 14; ]
42. Timestamp: 167268; Name: exit: /powered_on/charge/charging - _1after;  Attributes: [battery: 14; ]
43. Timestamp: 167268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 15; ]
44. Timestamp: 182268; Name: exit: /powered_on/charge/charging - _1after;  Attributes: [battery: 15; ]
45. Timestamp: 182268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 16; ]
46. Timestamp: 197268; Name: exit: /powered_on/charge/charging - _1after;  Attributes: [battery: 16; ]
47. Timestamp: 197268; Name: entry: /powered_on/charge/charging;  Attributes: [battery: 17; ]
48. Timestamp: 210091; Name: exit: /powered_on/apps/app_a - stop;  Attributes: [battery: 17; ]
49. Timestamp: 210091; Name: exit: /powered_on/charge/charging - stop;  Attributes: [battery: 17; ]
50. Timestamp: 210091; Name: exit: /powered_on/apps - stop;  Attributes: [battery: 17; ]
51. Timestamp: 210091; Name: exit: /powered_on/charge - stop;  Attributes: [battery: 17; ]
52. Timestamp: 210091; Name: exit: /powered_on - stop;  Attributes: [battery: 17; ]
